id,talep_metni,birim,modul,surec_talep_tipi,oncelik
1,"Yazıcıdan çıktı alamıyorum, bu ay içinde beri arızalı.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Yüksek
2,"Yazıcı kağıdı ve kalem stoku bitti, tedarik rica ederim.",İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
3,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Düşük
4,Burak Bey ile birlikte hedef belirleme toplantısı planlamak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Orta
5,"Ayşe Hanım'in görev tanımı güncellenecek, talep açıyorum.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Düşük
6,"Priz kıvılcım yapıyor, acil müdahale gerekiyor.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Yüksek
7,"Mükremin Bey'in kartı çalındı, iptal edilip yenisi verilmeli.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Yüksek
8,"Ali Bey'in görev tanımı güncellenecek, talep açıyorum.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Düşük
9,"Yazıcı kağıdı ve kalem stoku bitti, tedarik rica ederim.",İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
10,Emre Bey için ofis koltuğu değişimi rica ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Düşük
11,Ali Bey servis güzergahının değiştirilmesini talep ediyor.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Düşük
12,bu sabah için ziyaretçi girişi talep ediyorum.,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Düşük
13,Zeynep Hanım için hizmet belgesi çıkarılmasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Orta
14,"el terminalim açılmıyor, bir arıza var galiba.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Kritik
15,"Sunucu çok yavaş çalışıyor, tüm ekip etkilendi.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Kritik
16,"İnternetim çok yavaş, kontrol edilebilir mi?",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Yüksek
17,Onaylanan iznimi iptal etmek istiyorum.,İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Orta
18,"Bu ayki bordromu görüntüleyemiyorum, iletebilir misiniz?",İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
19,"Dosya sunucusuna erişemiyoruz, geçen hafta beri sorun var.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Yüksek
20,"Satış ofisi'daki klima çalışmıyor, çok sıcak/soğuk oluyor.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Orta
21,Yemeklerin kalitesiyle ilgili bir şikayetim var.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Düşük
22,Dahili hattım bu ay içinde beri kesik.,Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
23,İkametgah için işyerinden yazı almam gerekiyor.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Düşük
24,"faremim açılmıyor, bir arıza var galiba.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Yüksek
25,"Çağrı merkezi'daki lavabo tıkalı, su akmıyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Kritik
26,Aday hakkında önceki işyerinden referans teyidi istiyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
27,"İzin tarihimi değiştirmek istiyorum, uygun müsaitlik var mı?",İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Orta
28,Mehmet Bey'in SAP modülüne erişim yetkisi olması gerekiyor.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Orta
29,Hangi eğitimlere katılabileceğimi öğrenmek istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
30,"2. kat toplantı salonu'a giriş yetkim yok, tanımlanmasını rica ederim.",İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Düşük
31,Bu dönemki eğitim takvimi hakkında bilgi almak istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
32,Mehmet Bey müşteri ziyareti için araç tahsisi istiyor.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Orta
33,"3. kat'daki yazıcının toneri bitti, yenisi gerekiyor.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Düşük
34,205 plakalı araçta motor arızası var.,İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Yüksek
35,Gökhan Bey için mesleki gelişim eğitimi talep ediyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
36,2. kat toplantı salonu sunucusu için yedekleme planı oluşturulmasını istiyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Yüksek
37,204 TL tutarındaki satınalma talebimin onaylanmasını rica ederim.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Orta
38,Burak Bey'in bilgisayarının donanımının yenilenmesini rica ediyoruz.,Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Düşük
39,Bu ayki maaşımda bir eksik ödeme fark ettim.,İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Yüksek
40,İnsan Kaynakları katı temizliğinin yapılmasını rica ediyorum.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Orta
41,Geçmiş aylara ait bordro dökümü talep ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
42,"Ağ yazıcısına bağlanamıyorum, kurulum desteği rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Orta
43,"Yazıcı mürekkebi azaldı, tedarik edilmesini rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Orta
44,Çağrı merkezi yazıcısı bağlantı hatası veriyor.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Yüksek
45,"2. kat toplantı salonu'daki lavabo tıkalı, su akmıyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Yüksek
46,"İnsan Kaynakları katı'daki klima çalışmıyor, çok sıcak/soğuk oluyor.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Orta
47,Silinen dosyalarımın yedekten geri yüklenmesi gerekiyor.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Orta
48,"İK ofisi'a giriş yetkim yok, tanımlanmasını rica ederim.",İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Düşük
49,Fatma Hanım için unvan değişikliği talep ediyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Orta
50,Su baskını sonrası acil temizlik talep ediyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Orta
51,Fatma Hanım için ofis koltuğu değişimi rica ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Düşük
52,"Klimadan su damlıyor, acil kontrol rica ederim.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Yüksek
53,Fatma Hanım için vejetaryen menü talep ediyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
54,"Fazla mesai ücretim bordroma yansımamış, kontrol edilebilir mi?",İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Kritik
55,Ali Bey için unvan değişikliği talep ediyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Düşük
56,Yeni başlayanlar için oryantasyon eğitimi planlanmasını istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
57,Adobe Acrobat kullanırken sistem kilitleniyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
